,word,kanji,reading,overall_rank,rank_english,rank_japanese
542,breakfast,朝食,ちょうしょく,543,2237,578
543,breakfast,朝御飯,あさごはん,544,2237,794
544,comparison,比較,ひかく,545,2255,5074
545,sorry,ご免,ごめん,546,2263,3549
546,opening,開放,かいほう,547,2265,3509
547,plastic,プラスチック,プラスチック,548,2272,801
548,truth,真理,しんり,549,2276,2635
549,weekend,週末,しゅうまつ,550,2281,703
550,weekend,週休,しゅうきゅう,551,2281,2039
551,weekend,ウィークエンド,ウィークエンド,552,2281,3709
552,dollar,ドル,ドル,553,2282,406
553,bridge,橋,はし,554,2289,1462
554,printing,印刷,いんさつ,555,2294,3245
555,baseball,野球,やきゅう,556,2295,1439
556,draft,下書き,したがき,557,2298,2133
557,profit,採算,さいさん,558,2314,3008
558,advertisement,広告,こうこく,559,2322,2262
559,parking,駐車,ちゅうしゃ,560,2324,5588
560,yesterday,昨日,きのう,561,2326,121
561,pattern,パターン,パターン,562,2357,4163
562,boat,ボート,ボート,563,2360,881
563,direction,方面,ほうめん,564,2372,4702
564,direction,方角,ほうがく,565,2372,4738
565,basketball,バスケットボール,バスケットボール,566,2374,1516
566,evening,夕方,ゆうがた,567,2378,575
567,brain,脳,のう,568,2386,5033
568,powerful,強力,きょうりょく,569,2389,2388
569,dream,夢,ゆめ,570,2390,1630
570,flower,花,はな,571,2395,497
571,flag,旗,はた,572,2413,1843
572,eight,八,はち,573,2439,18
573,iron,アイロン,アイロン,574,2441,1566
574,iron,鉄,てつ,575,2441,4271
575,interview,インタビュー,インタビュー,576,2455,2290
576,interview,面接,めんせつ,577,2455,4730
577,interview,対談,たいだん,578,2455,5008
578,clearly,はっきり,はっきり,579,2463,526
579,sweet,甘い,あまい,580,2466,359
580,desk,机,つくえ,581,2467,1785
581,festival,祭り,まつり,582,2492,1244
582,lack,欠く,かく,583,2498,2553
583,train,電車,でんしゃ,584,2505,165
584,train,汽車,きしゃ,585,2505,3947
585,train,列車,れっしゃ,586,2505,5317
586,exactly,きっちり,きっちり,587,2506,3195
587,dry,乾かす,かわかす,588,2507,1664
588,editorial,社説,しゃせつ,589,2551,2842
589,expression,表現,ひょうげん,590,2553,1052
590,speech,スピーチ,スピーチ,591,2557,2904
591,tape,録音テープ,ろくおんテープ,592,2565,5010
592,fight,闘う,たたかう,593,2575,5846
593,height,高さ,たかさ,594,2577,547
594,zero,ゼロ,ゼロ,595,2579,1121
595,speaker,スピーカー,スピーカー,596,2580,2556
596,marriage,結婚,けっこん,597,2594,309
597,bath,風呂,ふろ,598,2601,1948
598,theater,劇場,げきじょう,599,2609,3529
599,healthy,健康,けんこう,600,2615,1700
600,translation,翻訳,ほんやく,601,2616,5283
601,injury,怪我,けが,602,2620,1892
602,birthday,誕生日,たんじょうび,603,2634,1627
603,jazz,ジャズ,ジャズ,604,2652,2663
604,representative,代表,だいひょう,605,2670,1053
605,extreme,極端,きょくたん,606,2685,3205
606,row,漕ぐ,こぐ,607,2691,3969
